"","zSensr","defl"
"291",-4.62396734235426e-08,-2.59225085841308e-10
"292",-4.62392186761917e-08,-2.39510189459224e-10
"293",-4.62387639288409e-08,-1.23468790746983e-10
"294",-4.62383660249088e-08,1.35988997840286e-11
"295",-4.62379681209768e-08,1.1231371388476e-10
"296",-4.62375702170448e-08,2.20020002217325e-10
"297",-4.62371723131128e-08,1.63591362678517e-10
"298",-4.62367744091807e-08,3.85584897344415e-11
"299",-4.62364333486676e-08,8.84781137244772e-11
"300",-4.62360354447355e-08,-3.39324124354334e-11
"301",-4.62356943842224e-08,-1.68798752753219e-10
"302",-4.62353533237092e-08,-2.49063436541519e-10
"303",-4.62349554197772e-08,-3.42065042957529e-10
"304",-4.6234614359264e-08,-3.50728335263284e-10
"305",-4.62342732987508e-08,-5.19592369130351e-10
"306",-4.62339322382377e-08,-6.2041483062103e-10
"307",-4.62335911777245e-08,-4.97348828787381e-10
"308",-4.62332501172114e-08,-4.57778703832901e-10
"309",-4.62329090566982e-08,-3.52882612020267e-10
"310",-4.62325111527662e-08,-1.36487265933738e-10
"311",-4.6232170092253e-08,1.14702025655333e-10
"312",-4.62318290317398e-08,3.46831896536060e-10
"313",-4.62314311278078e-08,2.3069679500054e-10
"314",-4.62310332238758e-08,1.16200382649367e-10
"315",-4.62306353199438e-08,1.45702561127337e-10
"316",-4.62302374160117e-08,2.56218601890623e-10
"317",-4.62298395120797e-08,4.43299175145739e-10
"318",-4.62294416081477e-08,3.02297742393876e-10
"319",-4.62289868607968e-08,1.89815274609373e-10
"320",-4.62285321134459e-08,3.13068238000369e-10
"321",-4.6228077366095e-08,2.10981898618456e-10
"322",-4.62275657753253e-08,-5.46052092431637e-12
"323",-4.62271110279744e-08,-1.70437886026775e-10
"324",-4.62265994372046e-08,-2.65219401995864e-10
"325",-4.6226031003016e-08,-2.95892199630998e-10
"326",-4.62255194122463e-08,-4.79834838529314e-10
"327",-4.62249509780577e-08,-5.84731374431158e-10
"328",-4.62243825438691e-08,-4.02333277804701e-10
"329",-4.62238141096805e-08,-2.7613022979267e-10
"330",-4.6223188832073e-08,-1.67160063568872e-10
"331",-4.62225635544655e-08,3.15343307022431e-11
"332",-4.62219382768581e-08,-5.54734036484206e-11
"333",-4.62212561558317e-08,-3.65854013750777e-10
"334",-4.62205740348054e-08,-3.86505494276435e-10
"335",-4.62198919137791e-08,-1.93618010513319e-10
"336",-4.62192097927527e-08,4.84190465499523e-12
"337",-4.62184708283075e-08,1.97916794064668e-10
"338",-4.62177318638624e-08,2.14728235192752e-10
"339",-4.62169928994172e-08,1.45843337406859e-10
"340",-4.6216253934972e-08,1.95341076647537e-10
"341",-4.62154581271079e-08,2.92323498740643e-10
"342",-4.62146623192439e-08,2.18146833930177e-10
"343",-4.6213809667961e-08,1.30389476993287e-10
"344",-4.62130138600969e-08,2.10654160781587e-10
"345",-4.6212161208814e-08,2.61556998282231e-10
"346",-4.62113085575311e-08,2.31024532837409e-10
"347",-4.62103990628293e-08,1.38538069904826e-10
"348",-4.62094895681275e-08,-1.24358301434313e-10
"349",-4.62085800734258e-08,-2.75708789132523e-10
"350",-4.62076137353051e-08,-9.3170360315753e-11
"351",-4.62066473971845e-08,1.85179427347748e-10
"352",-4.62056810590639e-08,3.56056961692275e-10
"353",-4.62047147209432e-08,2.81084489017758e-10
"354",-4.62036915394037e-08,9.91082771406582e-11
"355",-4.62026683578642e-08,4.37099245687023e-11
"356",-4.62015883329059e-08,-8.28683788256512e-11
"357",-4.62005651513664e-08,-2.2101298569055e-10
"358",-4.6199485126408e-08,-1.74699366084496e-10
"359",-4.61983482580308e-08,-2.7411672931521e-10
"360",-4.61972113896536e-08,-4.28885371661636e-10
"361",-4.61960745212764e-08,-3.86833232113304e-10
"362",-4.61949376528992e-08,-2.06776817890386e-10
"363",-4.61937439411031e-08,-6.53543885675845e-11
"364",-4.6192550229307e-08,1.59872115546023e-11
"365",-4.61913565175109e-08,1.85553794551652e-10
"366",-4.6190105962296e-08,3.05341529838188e-10
"367",-4.61888554070811e-08,3.22621485082664e-10
"368",-4.61875480084473e-08,1.93608240550702e-10
"369",-4.61862406098135e-08,-6.83044731886184e-11
"370",-4.61849332111797e-08,-8.56781312563726e-11
"371",-4.6183568969127e-08,-6.44373443492441e-12
"372",-4.61822047270743e-08,-6.89133194953229e-11
"373",-4.61808404850217e-08,2.63362665009481e-11
"374",-4.61794193995502e-08,4.06190636681458e-11
"375",-4.61779414706598e-08,-1.7853940548207e-10
"376",-4.61765203851883e-08,-1.73341341280775e-10
"377",-4.6174985612879e-08,-1.6210233155789e-10
"378",-4.61735076839886e-08,-3.37756933532773e-10
"379",-4.61719729116794e-08,-3.96152444182007e-10
"380",-4.61703812959513e-08,-2.54308130109848e-10
"381",-4.61688465236421e-08,6.43614050943597e-11
"382",-4.61671980644951e-08,1.48137946354154e-10
"383",-4.6165606448767e-08,-2.41451303395479e-11
"384",-4.61639011462012e-08,-6.09055028633065e-11
"385",-4.61622526870542e-08,-6.26849683271757e-11
"386",-4.61605473844884e-08,4.60786964140425e-12
"387",-4.61588420819226e-08,1.53476342745762e-10
"388",-4.61570799359379e-08,1.1723066961622e-10
"389",-4.61553177899532e-08,-5.15396614275687e-11
"390",-4.61535556439685e-08,-2.07104999816465e-10
